SCEN_ID	noise_type	sd	true_sd	alpha	D_rate	L_rate	H_rate	S_count	D_count	L_count	H_count	ancient_dupl	epsilon	BMG_size	RBMG_size	possible_edges_BMG	BMG_eps_order	BMG_eps_size	BMG_eps_tp	BMG_eps_tn	BMG_eps_fp	BMG_eps_fn	BMG_eps_acc	BMG_eps_prec	BMG_eps_recall	RBMG_eps_order	RBMG_eps_size	RBMG_eps_tp	RBMG_eps_tn	RBMG_eps_fp	RBMG_eps_fn	RBMG_eps_acc	RBMG_eps_prec	RBMG_eps_recall	BMG_nj_order	BMG_nj_size	BMG_nj_tp	BMG_nj_tn	BMG_nj_fp	BMG_nj_fn	BMG_nj_acc	BMG_nj_prec	BMG_nj_recall	RBMG_nj_order	RBMG_nj_size	RBMG_nj_tp	RBMG_nj_tn	RBMG_nj_fp	RBMG_nj_fn	RBMG_nj_acc	RBMG_nj_prec	RBMG_nj_recall	BMG_qd_order	BMG_qd_size	BMG_qd_tp	BMG_qd_tn	BMG_qd_fp	BMG_qd_fn	BMG_qd_acc	BMG_qd_prec	BMG_qd_recall	RBMG_qd_order	RBMG_qd_size	RBMG_qd_tp	RBMG_qd_tn	RBMG_qd_fp	RBMG_qd_fn	RBMG_qd_acc	RBMG_qd_prec	RBMG_qd_recall	BMG_qd2_order	BMG_qd2_size	BMG_qd2_tp	BMG_qd2_tn	BMG_qd2_fp	BMG_qd2_fn	BMG_qd2_acc	BMG_qd2_prec	BMG_qd2_recall	RBMG_qd2_order	RBMG_qd2_size	RBMG_qd2_tp	RBMG_qd2_tn	RBMG_qd2_fp	RBMG_qd2_fn	RBMG_qd2_acc	RBMG_qd2_prec	RBMG_qd2_recall	time_eps	time_nj	time_qd	time_qd2
0	no_bias	0.5	0.1976578165344877	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.011580944061279297	0.008781194686889648	0.00984811782836914	0.01132059097290039
1	no_bias	0.5	0.26084174301331037	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.010889768600463867	0.008708953857421875	0.011307001113891602	0.011254549026489258
0	no_bias	0.75	0.24052664153027278	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.011609554290771484	0.008968591690063477	0.014455556869506836	0.01176762580871582
1	no_bias	0.75	0.2997354724811722	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.010811805725097656	0.009149551391601562	0.01064443588256836	0.01006007194519043
0	no_bias	1.0	0.21620134110885153	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.012447357177734375	0.010181903839111328	0.012343883514404297	0.010960817337036133
1	no_bias	1.0	0.1895949621968667	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.010964155197143555	0.009794473648071289	0.009937286376953125	0.012119293212890625
0	no_bias	1.5	0.18436108030762308	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.011366128921508789	0.011059999465942383	0.01235342025756836	0.011972904205322266
1	no_bias	1.5	0.563959312237625	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.010703802108764648	0.009598255157470703	0.011544942855834961	0.01248788833618164
2	no_bias	0.0	0.0	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.012601375579833984	0.009212255477905273	0.00896143913269043	0.010851144790649414
3	no_bias	0.0	0.0	0.0	0.5187422933399575	0.8487777704993889	0.0	3	0	0	0	0	0.5	2	1	2	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	3	2	2	4	0	0	1.0	1.0	1.0	3	1	1	2.0	0	0	1.0	1.0	1.0	0.013921022415161133	0.010090827941894531	0.00964665412902832	0.011687994003295898
